epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,1854.97,0.90849,0.43719,0.78501,0.89254,0.56753,0.73163,0.56795,0.85646,0.49577,0.78059,0.0011024,0.0011024,0.0011024
138,1869.38,0.9003,0.43186,0.78297,0.90963,0.56628,0.73948,0.57722,0.85941,0.46535,0.78009,0.0010958,0.0010958,0.0010958
139,1885.33,0.91175,0.4432,0.78829,0.90568,0.56889,0.7394,0.57258,0.85988,0.46699,0.78072,0.0010892,0.0010892,0.0010892
140,1898.63,0.9125,0.42917,0.78617,0.89295,0.56842,0.7391,0.57889,0.84979,0.47645,0.78007,0.0010826,0.0010826,0.0010826
141,1912.46,0.89233,0.42579,0.78529,0.89516,0.56726,0.721,0.56168,0.85812,0.52448,0.78061,0.001076,0.001076,0.001076
142,1924.53,0.89469,0.43703,0.78313,0.91352,0.56185,0.74009,0.57993,0.85805,0.46865,0.78027,0.0010694,0.0010694,0.0010694
143,1937.88,0.88521,0.42656,0.78431,0.89829,0.5702,0.73814,0.5742,0.86223,0.45778,0.78226,0.0010628,0.0010628,0.0010628
144,1948.73,0.89066,0.42818,0.78429,0.90523,0.57024,0.73965,0.57732,0.85603,0.45142,0.77867,0.0010562,0.0010562,0.0010562
145,1962.43,0.90976,0.43084,0.78433,0.89846,0.56878,0.73861,0.5767,0.85351,0.453,0.78058,0.0010496,0.0010496,0.0010496
146,1975.99,0.90848,0.43024,0.78577,0.8953,0.56878,0.73101,0.56932,0.85868,0.49962,0.77967,0.001043,0.001043,0.001043
147,1988.88,0.87958,0.417,0.78067,0.89978,0.57053,0.74396,0.58274,0.84233,0.47206,0.7808,0.0010364,0.0010364,0.0010364
148,2000.98,0.89466,0.41779,0.78142,0.91124,0.57169,0.74574,0.58383,0.83344,0.44279,0.77955,0.0010298,0.0010298,0.0010298
149,2014.94,0.8734,0.40613,0.7816,0.89575,0.56839,0.7349,0.57734,0.83657,0.48331,0.77997,0.0010232,0.0010232,0.0010232
150,2026.62,0.86526,0.41513,0.78209,0.89561,0.56822,0.738,0.57952,0.84054,0.47629,0.779,0.0010166,0.0010166,0.0010166
151,2040.01,0.86634,0.41349,0.78388,0.89553,0.56727,0.733,0.57766,0.85697,0.45543,0.77981,0.00101,0.00101,0.00101
152,2053.9,0.89622,0.42416,0.7841,0.89552,0.57014,0.73943,0.58144,0.85321,0.46975,0.77979,0.0010034,0.0010034,0.0010034
153,2065.93,0.87854,0.41208,0.78368,0.90591,0.57126,0.7475,0.58495,0.84176,0.43815,0.77997,0.0009968,0.0009968,0.0009968
154,2081.26,0.87635,0.41175,0.78426,0.89407,0.56954,0.74374,0.58531,0.83787,0.44434,0.77952,0.0009902,0.0009902,0.0009902
155,2094.68,0.9037,0.41665,0.78328,0.89273,0.56835,0.73821,0.57674,0.86695,0.4732,0.78041,0.0009836,0.0009836,0.0009836
156,2108.28,0.89222,0.41075,0.78421,0.89819,0.56753,0.74304,0.58475,0.83709,0.45222,0.77938,0.000977,0.000977,0.000977
157,2125.31,0.91566,0.43349,0.78512,0.89393,0.56598,0.73984,0.58428,0.85307,0.45266,0.77959,0.0009704,0.0009704,0.0009704
158,2137.02,0.92744,0.44167,0.78613,0.9086,0.5704,0.74517,0.58928,0.83091,0.4436,0.77851,0.0009638,0.0009638,0.0009638
159,2149.37,0.88357,0.41557,0.78196,0.90284,0.57099,0.74458,0.58561,0.84674,0.44015,0.78009,0.0009572,0.0009572,0.0009572
160,2161.98,0.87623,0.4166,0.78239,0.9023,0.57248,0.73814,0.57961,0.82984,0.44703,0.77758,0.0009506,0.0009506,0.0009506
